product_id,product_name,temperature_zone,category_l1,category_l2,category_l3,external_category,match_method,match_confidence
GS000344267,调味汁优-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344296,调味海裙带35-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000091122,酱油50-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000117721,酸角饮料浓浆,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344294,酸辣泡椒酱型-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000364853,香辣酱（新规格15kg）嫩-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000359410,鲍汁风味酱（新箱规）70-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000524202,（新）沂沟粉条92-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000399223,伊利乳酸菌（100ml*20瓶/提）装-BW,常温,food,dairy,dairy,dairy,keyword:dairy,0.92
GS000087204,升级版全成原味豆奶精选-BW,常温,food,dairy,dairy,dairy,keyword:dairy,0.92
GS000460229,君乐宝-乳酸菌精选-BW,常温,food,dairy,dairy,dairy,keyword:dairy,0.92
GS000514352,维他奶-白桃豆奶饮料鲜-BW,常温,food,dairy,dairy,dairy,keyword:dairy,0.92
GS000524431,维维原味豆奶优-BW,常温,food,dairy,dairy,dairy,keyword:dairy,0.92
GS000474777,【乡巴佬】卤汁鹌鹑蛋嫩-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000460352,【新】番茄底料（番茄炒蛋用）级-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000472968,【测】黄金炸蛋鲜-BW,冷冻,food,egg,egg,egg,keyword:egg,0.92
GS000422230,卤汁鹌鹑蛋嫩-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000117710,客户3-爆沙芋球（蛋黄球）300g*20包/件嫩-BW,冷冻,food,egg,egg,egg,keyword:egg,0.92
GS000342325,带汁卤蛋（12个*12包/件）款-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000344271,改良小炒酱（番茄炒蛋用）优选-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000468735,改良蛋黄莲藕狮子头优选-BW,冷冻,food,egg,egg,egg,keyword:egg,0.92
GS000473372,真空咸鸭蛋,常温,food,egg,egg,egg,keyword:egg,0.92
GS000395070,真空熟食咸鸭蛋鲜-BW,常温,food,egg,egg,egg,keyword:egg,0.92
GS000524682,12kg滑油鸡杂19-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000520212,【新】小炒牛肉片款-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000520213,【新】小炒鲜猪肉片嫩-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000470064,优质清卤肥肠-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000389361,优质牛肉清汤级-BW,常温,food,meat,beef,beef,keyword:beef,0.92
GS000442656,优质腊肉片（常温款）款-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000460248,免浆猪肝14-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000353813,冻四号肉丝品-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000012794,升级版分切鸡腿肉粒品-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000516177,升级版卤肉臊子酱品-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000387965,升级版客户3-南乳鸡米花-1kg*10包-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000364846,升级版牛肉酱（新规格15kg）-BW,常温,food,meat,beef,beef,keyword:beef,0.92
GS000344278,卡兹鸡排13-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000366894,嫩鸡腿块15kg（新嫩鸡块）嫩-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000387962,客户3-蜜汁鸡翅根（小鸡腿）1kg*10包/件18-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000513285,客户3-蜜汁鸡翅根（小鸡腿）1kg*10包/件（新）嫩-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000443709,小炒牛肉片优-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000443708,小炒猪肉片版-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000349538,招牌香辣小炒牛肉（炒菜机专用）-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000469962,改良【新旺美刻】鸡腿切块型-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000388784,改良香辣鸡杂3号-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000424959,滑油鸡杂28-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000376533,牛肉片15kg嫩-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000376390,牛肉粒（压4分钟冲水）优-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000012830,猪肉馅版-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000012812,猪骨清汤10-BW,常温,food,meat,pork,pork,keyword:pork,0.92
GS000038072,甄选卤鸡腿A-BW,冷冻,food,meat,chicken,chicken,keyword:chicken,0.92
GS000012828,精品调理猪肝优选-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000387923,精选虎邦招牌牛肉辣酱-BW,常温,food,meat,beef,beef,keyword:beef,0.92
GS000012809,经典分切牛肉片级-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000243412,腊肉片70-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000366667,葱香黄牛腩卤肉鲜-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000358658,谷饲肥肉牛肉卷（1kg*15）优-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000344308,轻卤肥肠装-BW,冷冻,food,meat,pork,pork,keyword:pork,0.92
GS000344279,风味牛杂42-BW,冷冻,food,meat,beef,beef,keyword:beef,0.92
GS000460911,【粮欢喜】大米装-BW,常温,food,staple,rice,rice,keyword:rice,0.92
GS000358780,升级版家乡生粉2kg精选-BW,常温,food,staple,rice,rice,keyword:rice,0.92
GS000376795,大米15kg鲜-BW,常温,food,staple,rice,rice,keyword:rice,0.92
GS000388963,米线肉酱级-BW,冷冻,food,staple,rice,rice,keyword:rice,0.92
GS000522581,精品东北定制大米真空包装10kg级-BW,常温,food,staple,rice,rice,keyword:rice,0.92
GS000086883,经典东北定制大米10kg精选-BW,常温,food,staple,rice,rice,keyword:rice,0.92
GS000518202,【测】爽口酸菜69-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000518204,【测】金菇脆笋版-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000320550,优质剁椒萝卜(1KG/包)-BW,冷藏,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000117741,优质客户3-黄金地瓜条1kg*10包-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344309,冬菜鲜-BW,冷藏,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000530910,升级版客户3-海盐黑椒山药脆片-6kg/件级-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000364669,升级版小炒汁（8.0版小炒菜专用）型-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344292,卤黄豆66-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000107802,坛香酸豆角44-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000012837,外婆菜74-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000526625,客户3-海盐黑胡椒山药脆片-5kg/件嫩-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000243388,改良煨制烟笋品-BW,冷藏,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000362681,油炸土豆片（新箱规15kg）优-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000362682,油炸豆角（新箱规15kg）级-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344272,清炒番茄优-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000459110,湘西外婆菜鲜-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344312,特选番茄汤料-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000390370,粉面专用酸菜（原味）版-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344262,精品蔬菜调味粉品-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000395118,精选清水竹笋（新）-BW,冷藏,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000344319,绿豆汤,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000366291,肉沫酸菜酱（拌粉酱）鲜-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000391625,脱水莴笋干优-BW,冷冻,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000374403,萝卜辣椒酱18g型-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000012801,萝卜酸菜优-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000353809,酸萝卜丁鲜-BW,冷藏,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000362991,雪里红鲜笋装-BW,常温,food,vegetable,vegetable,vegetable,keyword:vegetable,0.92
GS000012822,2安士正方形酱料杯65-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343666,300打包盒鲜-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343689,500ml方形打包盒24-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343694,590内胆（1250内托，装面条使用）嫩-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460937,|客户3-铝箔保温无纺布袋（秋冬季专用）-无胶款-1000个22-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000422248,【整件独立粉包】香辣孜然撒粉100袋*5包,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000234133,【整件独立粉包】黄油芝士味撒粉4g*100袋(咸甜),常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000518945,产品sop标准+管理手册（2本）鲜-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000012802,优质1050圆碗型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000364915,优质客户3-【未开刀】腐乳鸡腿（蓝箱蓝胶带）10个*8袋优选-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000341168,优质客户3-南乳香辣大鸡架（鸡扇排）1kg*10袋/件精选-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117976,优质客户3-小号红色纸内袋*5000个-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000387966,优质客户3-黄牛皮手提袋500个/件-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000374928,优质白水牛肉（1.5kg*10袋）-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343471,全成绿豆沙直立袋238g,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000016989,加厚保温手提袋品-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000345233,升级版外卖封口条级-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000354180,升级版客户1定制湿纸巾（8抽/包）优选-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000242302,升级版客户3-塑料袋（小号）5000个/件-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000012824,升级版热压手提袋装-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000341485,南乳香辣鸡翅根20个*10袋,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460904,卫衣-L码/码数偏小,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117740,卫衣L码（拆零）,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000012823,四件套餐具包型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344313,塑料打包大袋子（500个）38-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344730,塑料打包小袋子（1000个）型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344282,外卖打包四件套精选-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513791,客户2保温袋8-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000364913,客户3-【开刀】腐乳鸡腿（红箱红胶带）10个*8袋装-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513288,客户3-【开刀】腐乳鸡腿（红箱红胶带）10个*8袋（新）鲜-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000441557,客户3-【整件独立粉包】黄油芝士味撒粉-4g*100袋*5包（咸甜）粉料57-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117731,客户3-一次性手套*5000个56-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000362002,客户3-全嫩鸡锡纸袋-定制1000个/件鲜-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000387961,客户3-凯达薯宝2kg*6袋/件72-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000341487,客户3-南乳劲辣嫩鸡翅骨（香辣翅边肉/香辣伴翅）1kg*10袋优-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000387963,客户3-南乳蜜汁鸡叉骨1kg*14袋66-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513284,客户3-南乳蜜汁鸡叉骨1kg*14袋（新）嫩-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460907,客户3-卫衣-XXXL码/码数偏小（拆零）品-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117748,客户3-卫衣L码（拆零）57-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117720,客户3-卷饼包装纸35*35cm/500张鲜-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000362301,客户3-定制冷饮杯-盖子16oz-500个（下单杯子自动添加）品-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117713,客户3-封口贴纸2000贴（用于扒包和外卖打包袋封口）（拆零）36-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000398419,客户3-无纺布袋（外卖打包专用）-无封条1000个/件款-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000367969,客户3-潮汕南姜霸王鸡--5只*4袋/件版-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000516632,客户3-潮汕南姜霸王鸡--5只*4袋/件（利）27-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513286,客户3-潮汕南姜霸王鸡--5只*4袋/件（新）优-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343224,客户3-潮汕南姜霸王鸡-5只*4袋/件42-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000474899,客户3-潮汕辣卤鸡翅尖-1kg*12袋97-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000516788,客户3-玉米鱼糕条-1kg*10袋优-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000393499,客户3-玉米鱼糕条1kg*8袋嫩-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117729,客户3-白牛皮纸袋*1000个34-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460092,客户3-百利蜂蜜芥末酱1kg*12袋嫩-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117737,客户3-红色纸内袋*5000个型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117738,客户3-纸巾*5000张75-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117726,客户3-腐乳鸡排5片*10袋优选-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000398424,客户3-腐乳鸡排（初炸）-1.1kg*10袋鲜-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000397223,客户3-腐乳鸡翅-10个*8袋（源源鑫/小规格）20-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513283,客户3-腐乳鸡翅-10个*8袋（源源鑫/小规格）（新）优-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000514927,客户3-虎皮鱼卷-1kg*10袋（安井）嫩-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000341486,客户3-虎皮鱼卷1kg*10袋嫩-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000129018,客户3-蜜汁南乳鸡架--1kg*16袋版-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513290,客户3-蜜汁南乳鸡架--1kg*16袋（新）嫩-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000389467,客户3-超大号炸禽盒50个*2包/件优-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000387964,客户3-黑椒元宝鸡块1kg*10袋/件69-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513851,小号无纺布打包袋嫩-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000390585,小炒肉（500g*30袋）品-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513287,招牌客户3-【未开刀】腐乳鸡腿（蓝箱蓝胶带）10个*8袋（新）-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000362300,招牌客户3-定制冷饮杯16oz-500个精选-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117716,招牌客户3-铝箔保温无纺布袋1000个-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000231733,招牌客户3-韭菜腐角2.5kg*4袋版-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343682,改良520ml外卖打包盒-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460020,改良客户2外卖封口贴型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000123238,改良客户3-小号牛皮纸袋（可装单份产品）-2000个/件型-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000012827,特选外卖汤碗-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117747,特选客户3-卫衣XL码（拆零）-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000530908,特选客户3-潮汕南乳鸡柳条-2.5kg*6袋-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460246,玉米淀粉汤碗鲜-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000320114,甄选客户3-南乳蒜香鸡柳片30片*10袋/件-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000388750,甄选牛皮纸碗1100（定制款）级-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000374901,甄选谷饲肥牛肉卷（1.25kg*12袋）-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000343698,精品1250打包盒装-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000287829,精品塑料背心袋（拼好饭专用）-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000472898,精品客户3-【小号】无纺布袋-1500个/件版-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000527431,精品客户3-潮汕南乳鸡柳条-1kg*12袋-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000399083,精品客户3-腐乳鸡翅--1.2kg*8袋/件（圣农/小规格）-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000323476,精选500ml长方盒装-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000513289,精选客户3-潮汕南姜霸王鸡-5只*4袋/件（新）型-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344731,精选无纺布打包袋-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000397165,经典1000ml碗（海口）级-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000242301,经典客户3-塑料袋（大号）3000个/件-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117711,经典客户3-扒包纸盒*400个-新-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000117736,经典客户3-金色锡纸8000张级-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000460091,经典客户3-鸡肉卷饼皮-12片×16袋/件型-BW,冷冻,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000231678,餐垫纸1000张/件,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344261,餐巾纸款-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000344290,餐盘纸18-BW,常温,non_food,packaging,packaging,包装耗材,keyword:packaging,0.98
GS000516208,1000ml盖（海口）64-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000472969,【测】炸豆干嫩-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000333263,客户3-半身围裙-T恤/马甲配套（拆零）品-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000117723,客户3-吸管180支/包（拆零）13-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000117746,客户3-夏季T恤L码（拆零）优-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000117745,客户3-夏季T恤XL码（拆零）优选-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000117744,客户3-帽子（拆零）37-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000520107,客户3-帽子（红色）（拆零）8-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000333269,客户3-春秋季速干马甲工服L码 【130-160斤适用】（拆零）62-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000333264,客户3-春秋季速干马甲工服M码 【80-130斤适用】（拆零）67-BW,常温,unknown,unknown,unknown,unknown,fallback_unknown,0.15
GS000527447,客户3-香酥鸡肉洋葱圈-10包/件优选-BW,冷冻,unknown,unknown,unknown,unknown,fallback_unknown,0.15
